Date, Open, High, Low, Close
01/31/23, 33803.56, 34095.23, 33664.91, 34086.04
01/30/23, 33909.21, 34055.29, 33695.18, 33717.09
01/27/23, 33952.93, 34164.33, 33830.85, 33978.08
01/26/23, 33771.66, 33953.79, 33635.60, 33949.41
01/25/23, 33538.36, 33773.09, 33273.21, 33743.84
01/24/23, 33444.72, 33782.92, 33310.56, 33733.96
01/23/23, 33439.56, 33782.88, 33316.25, 33629.56
01/20/23, 33073.46, 33381.95, 32948.93, 33375.49
01/19/23, 33171.35, 33227.49, 32982.05, 33044.56
01/18/23, 33948.49, 34016.53, 33269.90, 33296.96
01/17/23, 34222.32, 34269.97, 33860.67, 33910.85
01/13/23, 34075.31, 34342.32, 33915.49, 34302.61
01/12/23, 34047.86, 34292.67, 33792.10, 34189.97
01/11/23, 33754.03, 33974.69, 33711.04, 33973.01
01/10/23, 33516.43, 33726.54, 33421.80, 33704.10
01/09/23, 33664.39, 33935.11, 33487.66, 33517.65
01/06/23, 33055.30, 33710.66, 32997.39, 33630.61
01/05/23, 33191.72, 33191.72, 32812.33, 32930.08
01/04/23, 33165.14, 33409.10, 33033.48, 33269.77
01/03/23, 33148.90, 33387.52, 32850.57, 33136.37
